household_id,house_size,sqft,occupants,owns_PhoneCharging,owns_Radio,owns_TV,owns_IronBox,owns_ElectricKettle,owns_Fridge,owns_Microwave,owns_WashingMachine,owns_Laptop,owns_DeepFreezer,owns_Fan,owns_WaterHeater,monthly_consumption_kwh,monthly_bill_kes
H00087,2 Beds,856.0,4,1,0,1,1,0,0,0,0,0,1.0,0,0,141.55,3502
H00088,1 Bed,661.0,1,1,0,1,1,0,1,0,0,1,0.0,1,0,91.84,2138
H00089,1 Bed,679.0,3,0,0,1,1,1,1,0,0,0,0.0,1,0,143.76,3564
H00090,1 Bed,734.0,1,1,0,1,1,1,1,0,0,1,0.0,1,0,119.76,2893
H00091,Studio,475.0,2,1,0,1,0,0,1,0,0,0,0.0,0,1,142.28,3522
H00092,3+ Beds,1187.0,5,1,1,1,1,1,0,0,0,1,,1,1,188.63,4817
H00093,1 Bed,632.0,1,1,1,1,1,0,0,0,1,1,0.0,0,0,69.46,1581
H00094,2 Beds,873.0,5,1,1,1,1,0,1,1,0,0,0.0,1,0,171.45,4337
H00095,1 Bed,600.0,1,1,0,1,1,0,0,0,0,0,0.0,1,1,126.24,3074
H00096,2 Beds,850.0,3,1,1,1,1,0,0,0,0,1,0.0,0,0,86.02,1993
H00097,Studio,429.0,1,1,0,1,1,0,0,0,0,1,0.0,0,1,83.75,1937
H00098,1 Bed,655.0,2,1,0,1,1,0,1,0,0,1,0.0,0,0,105.26,2488
H00099,Studio,421.0,1,1,0,0,1,0,0,0,0,1,0.0,1,0,36.21,754
H00100,Studio,451.0,2,1,1,1,1,0,1,0,1,0,0.0,0,1,183.61,4677
H00101,3+ Beds,1190.0,7,1,0,0,1,1,1,1,0,0,1.0,0,0,238.06,6198
H00102,2 Beds,892.0,5,1,1,1,0,0,1,0,1,0,1.0,0,0,191.9,4908
H00103,1 Bed,634.0,1,1,1,1,1,0,1,1,0,0,0.0,1,0,102.08,2399
H00104,2 Beds,912.0,2,1,1,0,1,0,1,1,0,0,,0,1,150.08,3740
H00105,3+ Beds,1201.0,4,1,1,1,1,1,1,1,0,0,0.0,0,1,250.09,6534
H00106,1 Bed,547.0,2,1,1,0,1,0,0,0,0,1,,0,0,61.85,1392
H00107,2 Beds,911.0,2,1,0,1,1,1,1,1,1,1,0.0,1,0,152.73,3814
H00108,2 Beds,905.0,4,1,0,1,1,0,1,0,0,0,0.0,1,0,142.04,3516
H00109,1 Bed,627.0,2,1,1,1,0,0,1,0,0,1,0.0,0,0,90.02,2093
H00110,2 Beds,907.0,2,1,0,0,1,1,1,0,0,0,0.0,0,0,96.72,2260
H00111,2 Beds,873.0,2,1,1,0,1,0,0,0,1,0,0.0,0,0,68.17,1549
H00112,3+ Beds,1205.0,4,1,1,0,1,1,1,0,0,0,0.0,1,0,167.04,4214
H00113,1 Bed,,2,1,1,1,1,0,1,0,0,1,0.0,1,1,181.67,4623
H00114,3+ Beds,1227.0,3,1,1,1,1,1,1,0,0,0,0.0,1,0,143.51,3557
H00115,Studio,464.0,1,1,1,1,0,0,1,0,0,0,0.0,0,0,114.21,2738
H00116,2 Beds,,4,1,0,1,1,1,1,0,0,0,0.0,1,0,121.82,2951
H00117,3+ Beds,1173.0,3,1,1,1,1,1,1,0,0,0,0.0,1,0,137.3,3383
H00118,Studio,478.0,1,1,0,1,1,1,0,1,0,0,0.0,0,0,68.96,1569
H00119,1 Bed,667.0,1,1,0,1,1,0,0,0,0,1,0.0,0,0,63.08,1423
H00120,3+ Beds,1206.0,6,1,1,0,1,0,0,0,0,0,0.0,0,0,128.95,3150
H00121,Studio,406.0,1,1,1,0,1,1,1,0,0,1,0.0,0,0,100.15,2346
H00122,2 Beds,874.0,2,1,0,1,1,0,1,0,0,0,0.0,0,0,115.35,2770
H00123,2 Beds,907.0,3,1,1,1,0,0,0,1,0,0,0.0,0,1,134.63,3309
H00124,2 Beds,,2,1,0,1,0,0,0,0,1,0,0.0,0,0,81.41,1879
H00125,2 Beds,900.0,5,1,1,0,1,1,0,0,0,1,0.0,0,1,179.72,4568
H00126,1 Bed,618.0,1,1,0,1,1,1,1,0,0,0,0.0,1,1,166.22,4191
H00127,1 Bed,642.0,3,1,1,1,1,1,1,1,0,0,0.0,0,0,149.61,3727
H00128,1 Bed,631.0,1,1,0,1,1,0,1,1,0,1,0.0,0,0,129.52,3166
H00129,1 Bed,605.0,1,1,1,1,1,1,1,1,0,0,0.0,0,1,169.25,4276
H00130,1 Bed,607.0,3,1,0,1,1,1,0,0,0,1,0.0,0,0,76.81,1764
H00131,3+ Beds,1169.0,7,1,0,1,1,0,1,1,0,0,0.0,1,0,173.77,4402
H00132,2 Beds,842.0,4,1,0,0,1,0,0,1,0,0,1.0,1,0,134.97,3318
H00133,1 Bed,669.0,2,1,1,1,1,1,1,0,1,0,0.0,0,0,125.97,3067
H00134,1 Bed,681.0,2,1,0,0,1,1,1,0,0,1,1.0,1,1,207.18,5335
H00135,3+ Beds,1235.0,3,1,0,1,1,0,0,1,0,0,0.0,1,0,103.89,2450
H00136,1 Bed,620.0,2,1,1,1,1,1,1,0,0,1,0.0,1,1,167.07,4215
H00137,3+ Beds,1171.0,7,1,0,0,1,1,1,0,0,1,0.0,0,0,176.67,4483
H00138,2 Beds,910.0,4,1,0,1,1,1,1,0,0,1,0.0,1,0,150.99,3766
H00139,2 Beds,882.0,4,1,0,1,1,1,1,0,0,1,0.0,1,0,160.95,4044
H00140,3+ Beds,1188.0,6,1,0,0,1,1,1,0,0,0,0.0,0,0,160.96,4044
H00141,2 Beds,888.0,3,1,0,0,1,1,1,1,0,0,1.0,0,1,227.64,5907
H00142,2 Beds,837.0,3,1,1,1,1,1,0,0,0,0,0.0,1,0,100.77,2363
H00143,1 Bed,700.0,2,1,0,0,1,1,0,0,0,1,0.0,0,1,108.77,2586
H00144,3+ Beds,1144.0,7,1,0,0,1,0,1,1,0,0,0.0,1,0,164.44,4141
H00145,1 Bed,589.0,2,1,1,0,1,1,1,0,0,1,0.0,0,0,84.09,1945
H00146,3+ Beds,,7,1,1,1,0,1,0,0,0,1,0.0,1,1,169.58,4285
H00147,Studio,407.0,2,1,1,1,1,0,0,0,0,0,0.0,1,0,62.48,1408
H00148,1 Bed,692.0,3,1,1,0,1,1,1,0,0,0,0.0,0,0,107.71,2557
H00149,2 Beds,914.0,4,1,1,1,1,0,1,0,0,0,0.0,1,0,151.03,3767
H00150,3+ Beds,1214.0,7,1,1,0,1,1,1,0,0,0,0.0,0,1,216.08,5584
H00151,1 Bed,635.0,3,1,1,1,1,1,1,0,0,1,0.0,0,0,148.22,3688
H00152,3+ Beds,1145.0,5,1,0,1,1,0,0,0,0,0,0.0,0,1,169.56,4284
H00153,2 Beds,854.0,3,1,1,1,1,1,1,1,0,1,0.0,0,1,217.73,5630
H00154,2 Beds,904.0,5,1,0,0,1,1,0,0,0,0,0.0,1,0,90.77,2112
H00155,2 Beds,896.0,4,1,0,1,1,0,0,0,0,1,0.0,0,0,105.51,2495
H00156,3+ Beds,1153.0,6,1,0,1,1,0,1,0,0,1,1.0,0,1,247.75,6468
H00157,1 Bed,606.0,2,1,1,0,1,0,0,0,0,1,0.0,0,1,117.01,2816
H00158,1 Bed,616.0,1,1,1,1,1,1,1,0,0,0,0.0,0,1,173.62,4398
H00159,1 Bed,648.0,2,1,0,0,1,0,0,0,0,0,0.0,1,1,76.12,1747
H00160,Studio,467.0,1,1,1,0,1,0,0,0,0,0,1.0,0,0,89.37,2077
H00161,1 Bed,685.0,2,1,0,1,1,1,0,0,0,0,1.0,0,0,106.49,2523
H00162,3+ Beds,1186.0,6,1,0,1,1,0,1,0,0,0,0.0,1,1,177.85,4516
H00163,3+ Beds,,6,1,1,1,1,1,1,0,0,0,0.0,1,0,205.05,5276
H00164,Studio,478.0,2,0,1,0,1,0,1,0,0,0,0.0,1,0,93.1,2170
H00165,2 Beds,958.0,5,1,0,1,1,0,1,0,0,1,0.0,1,1,202.67,5209
H00166,1 Bed,616.0,1,1,0,1,1,0,1,1,0,0,0.0,0,0,83.84,1939
H00167,2 Beds,923.0,2,1,1,1,1,0,0,1,0,0,0.0,0,0,77.64,1785
H00168,2 Beds,942.0,2,1,1,0,1,1,1,1,0,1,0.0,1,0,122.02,2956
H00169,1 Bed,581.0,1,1,0,1,1,0,0,0,0,0,1.0,0,0,117.2,2822
H00170,3+ Beds,1236.0,7,1,0,0,1,1,1,0,0,0,0.0,0,0,163.98,4128
H00171,1 Bed,666.0,3,1,1,1,1,1,0,0,0,0,0.0,0,0,95.37,2226
H00172,2 Beds,936.0,3,1,0,1,1,0,0,0,1,1,1.0,0,0,134.88,3316
H00173,2 Beds,907.0,3,1,0,1,1,0,1,0,0,0,0.0,0,1,142.11,3518
H00174,1 Bed,695.0,1,1,1,0,0,0,1,0,0,0,0.0,0,0,73.3,1677
H00175,Studio,434.0,2,1,0,0,1,1,1,1,1,0,0.0,0,0,94.85,2213
H00176,1 Bed,630.0,3,1,1,1,1,0,0,0,0,0,0.0,1,0,72.34,1653
H00177,2 Beds,928.0,2,1,0,1,1,0,1,1,0,1,0.0,1,0,169.81,4291
H00178,3+ Beds,1228.0,6,1,0,1,0,1,1,0,0,0,0.0,0,0,161.9,4070
H00179,2 Beds,848.0,5,1,0,0,1,1,0,1,0,0,0.0,0,0,102.78,2419
H00180,Studio,497.0,1,1,1,1,1,1,1,0,0,0,0.0,1,0,98.38,2301
H00181,3+ Beds,1246.0,6,1,1,1,1,1,1,0,0,0,0.0,1,0,162.04,4074
H00182,3+ Beds,1240.0,6,1,0,1,1,1,0,0,0,1,0.0,0,1,191.8,4906
H00183,3+ Beds,1172.0,4,1,1,1,1,0,0,0,0,0,0.0,0,0,113.32,2713
H00184,2 Beds,949.0,3,1,1,0,1,1,1,0,0,0,0.0,1,1,174.27,4416
H00185,3+ Beds,1220.0,5,1,1,0,0,1,0,1,1,1,0.0,0,1,183.87,4684
H00186,Studio,486.0,2,1,0,1,1,1,1,1,0,0,0.0,0,0,106.41,2520
H00187,Studio,448.0,2,1,0,0,0,1,0,0,0,1,0.0,1,1,98.63,2307
H00188,Studio,433.0,1,1,0,1,1,0,1,0,0,0,0.0,1,0,84.0,1943
H00189,1 Bed,623.0,1,1,0,1,1,1,0,1,0,0,0.0,0,0,64.35,1454
H00190,1 Bed,626.0,2,1,1,1,1,0,0,0,1,1,0.0,0,1,139.73,3451
H00191,1 Bed,685.0,2,1,1,0,1,0,1,1,0,0,0.0,1,0,115.51,2775
H00192,2 Beds,870.0,4,1,1,1,1,0,1,0,0,1,0.0,1,1,187.71,4791
H00193,Studio,426.0,1,1,1,1,1,1,0,0,1,0,0.0,1,1,102.76,2418
H00194,2 Beds,913.0,5,1,0,1,1,1,1,0,0,0,0.0,0,0,135.29,3327
H00195,1 Bed,640.0,1,1,0,1,1,0,1,1,0,0,0.0,1,1,189.68,4846
H00196,2 Beds,821.0,4,1,0,1,0,0,1,1,0,0,1.0,0,0,198.06,5080
H00197,Studio,425.0,2,1,1,1,1,1,1,0,1,0,1.0,0,0,143.24,3549
H00198,1 Bed,636.0,3,1,1,1,1,0,0,0,0,1,1.0,0,0,154.87,3874
H00199,3+ Beds,1262.0,5,1,1,1,1,0,1,0,0,0,0.0,0,0,161.69,4065
H00200,2 Beds,926.0,2,1,1,1,0,1,0,0,0,1,0.0,0,0,97.3,2274
H00201,3+ Beds,1161.0,5,1,0,1,1,0,0,0,1,0,0.0,1,0,116.42,2800
H00202,2 Beds,857.0,5,1,0,1,0,1,1,1,0,0,0.0,1,0,174.72,4428
H00203,2 Beds,882.0,2,1,1,1,0,1,1,0,0,0,0.0,1,1,156.32,3915
H00204,1 Bed,659.0,2,1,1,0,1,1,1,1,0,0,0.0,1,0,146.78,3648
H00205,2 Beds,870.0,2,1,0,1,1,0,0,0,0,1,0.0,0,0,68.86,1567
H00206,Studio,467.0,2,1,0,1,1,1,0,0,1,0,0.0,1,0,87.12,2021
H00207,3+ Beds,1146.0,4,1,1,1,1,0,0,0,1,0,0.0,0,1,149.15,3714
H00208,3+ Beds,1213.0,6,1,1,1,1,1,1,1,1,0,,1,0,192.63,4929
H00209,3+ Beds,,7,1,0,1,1,1,1,0,0,1,0.0,0,0,172.09,4355
H00210,Studio,347.0,1,1,1,1,1,1,0,0,1,1,1.0,0,1,133.43,3275
H00211,1 Bed,649.0,1,1,0,1,1,1,1,0,0,1,0.0,1,1,172.11,4356
H00212,1 Bed,660.0,1,1,1,1,1,0,1,0,0,1,1.0,1,0,158.05,3963
H00213,Studio,467.0,2,1,0,1,1,1,1,1,0,0,0.0,0,0,134.12,3294
H00214,2 Beds,904.0,2,1,0,0,1,0,0,1,1,0,0.0,0,0,85.68,1985
H00215,2 Beds,897.0,4,1,1,1,1,0,1,1,0,1,0.0,0,0,175.97,4463
H00216,1 Bed,661.0,2,1,1,1,1,1,0,0,0,0,0.0,0,0,80.12,1847
H00217,3+ Beds,1204.0,7,1,0,1,1,0,1,0,1,0,0.0,0,0,185.21,4721
H00218,2 Beds,904.0,3,1,1,1,1,0,1,0,0,1,0.0,1,0,152.58,3810
H00219,Studio,511.0,2,1,0,1,1,0,1,1,0,0,0.0,1,0,123.34,2993
H00220,2 Beds,940.0,3,1,0,1,1,1,0,1,1,0,0.0,1,0,109.98,2620
H00221,3+ Beds,1236.0,7,1,1,1,1,0,0,0,0,0,0.0,0,0,118.55,2859
H00222,1 Bed,626.0,3,1,0,1,1,1,0,1,0,0,0.0,0,0,83.67,1935
H00223,2 Beds,881.0,3,0,1,1,1,0,1,0,0,0,0.0,0,0,125.31,3048
H00224,2 Beds,941.0,5,1,1,1,1,0,1,0,0,0,0.0,0,0,135.36,3329
H00225,2 Beds,859.0,3,1,1,1,0,0,0,1,1,1,0.0,0,0,103.84,2449
H00226,Studio,489.0,2,1,1,1,0,1,1,1,0,0,0.0,1,0,123.94,3010
H00227,2 Beds,848.0,2,1,0,0,1,1,1,1,1,1,0.0,1,0,114.6,2749
H00228,2 Beds,982.0,5,1,0,1,0,1,1,0,0,1,0.0,0,0,178.22,4526
H00229,3+ Beds,,5,1,1,0,1,1,1,0,0,0,0.0,1,0,144.93,3596
H00230,3+ Beds,1179.0,3,1,0,0,1,0,0,0,0,0,0.0,1,1,130.91,3205
H00231,1 Bed,632.0,1,0,1,1,0,1,1,0,0,0,0.0,0,0,94.95,2216
H00232,2 Beds,821.0,3,1,1,0,1,1,1,0,1,0,0.0,1,0,132.0,3235
H00233,3+ Beds,1198.0,4,1,0,1,1,0,1,1,0,0,0.0,0,0,157.86,3958
H00234,3+ Beds,1246.0,3,1,1,1,1,0,0,1,0,0,0.0,1,0,103.99,2453
H00235,1 Bed,674.0,1,1,1,1,1,0,1,0,0,1,1.0,1,0,164.91,4154
H00236,Studio,440.0,1,1,1,1,1,1,0,0,0,0,1.0,1,1,180.5,4590
H00237,2 Beds,979.0,3,1,1,1,1,1,1,1,0,0,0.0,0,1,200.78,5156
H00238,1 Bed,671.0,2,1,1,1,1,0,0,0,0,0,0.0,0,0,51.47,1134
H00239,2 Beds,916.0,2,1,1,1,1,1,0,0,0,0,0.0,0,0,80.74,1862
H00240,3+ Beds,1189.0,5,1,1,1,1,1,1,0,0,0,0.0,0,0,171.3,4333
H00241,1 Bed,673.0,2,1,0,1,1,0,0,0,0,0,0.0,0,1,134.28,3299
H00242,1 Bed,751.0,2,1,0,0,1,1,1,0,0,1,0.0,0,1,195.6,5012
H00243,1 Bed,667.0,2,1,0,1,1,1,1,1,0,1,0.0,1,0,123.84,3007
H00244,2 Beds,836.0,2,1,1,1,1,0,0,0,0,0,0.0,0,0,69.35,1579
H00245,Studio,458.0,1,1,0,1,1,1,1,1,0,1,0.0,1,1,167.1,4216
H00246,1 Bed,724.0,3,1,1,1,0,1,1,1,1,1,0.0,1,0,134.41,3303
H00247,Studio,496.0,1,1,1,1,1,1,0,0,0,1,0.0,0,1,82.33,1902
H00248,2 Beds,880.0,4,1,0,0,1,0,0,0,0,0,0.0,0,0,72.13,1648
H00249,3+ Beds,1214.0,5,1,1,1,1,1,1,1,1,1,0.0,0,0,170.07,4299
H00250,1 Bed,593.0,3,1,1,1,1,0,0,0,0,0,0.0,1,0,68.97,1569
H00251,1 Bed,675.0,2,0,1,1,1,0,1,0,0,1,0.0,0,0,132.27,3243
H00252,2 Beds,866.0,5,1,1,0,1,0,0,0,0,1,0.0,0,0,107.41,2548
H00253,1 Bed,629.0,2,0,1,1,1,1,1,0,1,0,0.0,1,0,125.12,3043
H00254,1 Bed,628.0,2,1,0,1,0,0,1,1,0,0,0.0,0,0,105.68,2500
H00255,1 Bed,622.0,2,1,0,1,1,0,1,1,0,0,0.0,1,0,126.36,3078
H00256,1 Bed,716.0,1,1,0,0,1,1,1,1,0,0,0.0,0,0,92.0,2142
H00257,Studio,507.0,1,1,1,0,1,1,1,0,0,1,0.0,0,0,109.74,2613
H00258,2 Beds,889.0,3,1,1,1,1,1,1,1,0,0,0.0,0,0,129.82,3174
H00259,2 Beds,904.0,4,1,1,0,1,1,1,1,0,1,0.0,1,0,177.64,4510
H00260,1 Bed,715.0,1,1,0,1,1,0,0,1,0,1,0.0,0,0,76.41,1754
H00261,Studio,439.0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,55.41,1232
H00262,2 Beds,883.0,5,1,0,1,0,0,0,1,0,0,1.0,1,1,248.47,6489
H00263,Studio,417.0,1,1,1,0,1,0,1,0,0,0,0.0,0,0,89.37,2077
H00264,Studio,510.0,1,1,0,1,1,1,1,0,0,1,0.0,1,1,184.09,4690
H00265,Studio,456.0,2,1,0,1,1,0,0,0,0,1,0.0,0,1,108.38,2575
H00266,Studio,450.0,2,0,1,1,1,1,0,0,1,1,1.0,1,0,148.91,3708
H00267,3+ Beds,,7,1,1,0,1,0,1,0,0,0,0.0,0,0,158.88,3986
H00268,1 Bed,615.0,2,1,0,1,1,0,1,0,1,1,0.0,0,0,118.88,2869
H00269,1 Bed,687.0,1,1,1,0,1,0,1,0,0,1,0.0,1,0,118.56,2860
H00270,3+ Beds,1170.0,6,1,0,1,1,0,1,0,0,0,0.0,0,0,176.18,4469
H00271,2 Beds,880.0,4,1,0,1,1,0,1,1,0,1,0.0,1,0,147.98,3682
H00272,1 Bed,585.0,1,1,1,1,1,1,0,0,1,1,1.0,0,1,197.33,5060
H00273,1 Bed,607.0,2,1,0,1,1,0,0,0,0,0,0.0,0,0,60.18,1351
H00274,3+ Beds,1180.0,6,1,1,1,1,0,1,0,0,1,0.0,0,1,190.76,4877
H00275,1 Bed,,3,1,1,0,0,0,1,1,1,0,0.0,0,0,115.2,2766
H00276,2 Beds,841.0,3,1,0,1,0,1,1,1,0,0,0.0,1,0,137.68,3394
H00277,Studio,426.0,1,1,0,1,1,0,0,0,0,0,0.0,0,0,58.53,1309
H00278,2 Beds,894.0,2,1,0,1,1,0,1,0,0,0,0.0,0,0,125.57,3056
H00279,2 Beds,798.0,3,1,0,1,1,0,0,1,0,0,0.0,0,0,86.54,2006
H00280,3+ Beds,1222.0,6,1,0,1,0,1,0,0,0,1,0.0,0,0,112.73,2697
